Hands played,Percent won,Bet size,Hit zero,Percent per hour
4.0,366.5583233726285,1.0,0.0,12.829541318041999
4.0,193.96452501704715,1.0,0.0,6.788758375596651
4.0,20.13128836807905,1.0,0.0,0.7045950928827669
4.0,-51.68179006202834,1.0,0.0,-1.8088626521709918
4.0,-21.349317887513926,1.0,0.0,-0.7472261260629872
4.0,208.6616665542007,1.0,0.0,7.303158329397022
4.0,-15.087551514208329,1.0,0.0,-0.5280643029972916
4.0,-41.52381655830956,1.0,0.0,-1.4533335795408349
4.0,242.42895174197207,1.0,0.0,8.485013310969023
4.0,18.20955347960148,1.0,0.0,0.6373343717860518
4.0,-31.546573536262585,1.0,0.0,-1.1041300737691904
4.0,-52.92670233594104,1.0,0.0,-1.852434581757936
4.0,-67.45422956065744,1.0,0.0,-2.3608980346230104
4.0,-72.80521096288467,1.0,0.0,-2.548182383700964
4.0,1.4581866625493234,1.0,0.0,0.05103653318922632
4.0,30.55958288282957,1.0,0.0,1.069585400899035
4.0,213.98224628761315,1.0,0.0,7.489378620066461
4.0,429.89930280778367,1.0,0.0,15.046475598272428
4.0,-9.552160302290034,1.0,0.0,-0.3343256105801512
4.0,-68.16867776686504,1.0,0.0,-2.3859037218402763
4.0,-54.188584823283136,1.0,0.0,-1.8966004688149096
4.0,1392.270981475662,1.0,0.0,48.72948435164817
4.0,264.9767517644153,1.0,0.0,9.274186311754537
4.0,152.42889028950026,1.0,0.0,5.335011160132508
4.0,369.2929621029909,1.0,0.0,12.92525367360468
4.0,108.22070713757893,1.0,0.0,3.787724749815263
4.0,-25.218944152870197,1.0,0.0,-0.8826630453504568
4.0,1342.0382636954719,1.0,0.0,46.971339229341524
4.0,-70.04051890899022,1.0,0.0,-2.4514181618146567
4.0,-57.93126974743362,1.0,0.0,-2.0275944411601765
4.0,-77.55826770302191,1.0,0.0,-2.7145393696057663
4.0,-56.02228019183188,1.0,0.0,-1.960779806714116
4.0,3354.527102160061,1.0,0.0,117.40844857560215
4.0,72.00604780408673,1.0,0.0,2.520211673143036
4.0,186.84000386754883,1.0,0.0,6.539400135364209
4.0,-70.43888800259812,1.0,0.0,-2.4653610800909345
4.0,92.8511023329589,1.0,0.0,3.2497885816535623
4.0,6.993280778223935,1.0,0.0,0.2447648272378377
4.0,-68.82845727317367,1.0,0.0,-2.4089960045610788
4.0,223.0877852477041,1.0,0.0,7.808072483669642
4.0,-82.82209248651823,1.0,0.0,-2.8987732370281383
4.0,128.60703514473312,1.0,0.0,4.501246230065659
4.0,-76.63358172486352,1.0,0.0,-2.6821753603702234
4.0,47.26022799807055,1.0,0.0,1.6541079799324692
4.0,184.55581672618302,1.0,0.0,6.459453585416408
4.0,402.5610786896849,1.0,0.0,14.089637754138975
4.0,-49.992166634794465,1.0,0.0,-1.7497258322178058
4.0,-61.47932467977462,1.0,0.0,-2.151776363792112
4.0,1519.4844263022035,1.0,0.0,53.18195492057715
4.0,-12.961321810541222,1.0,0.0,-0.4536462633689428
4.0,-55.112130389115755,1.0,0.0,-1.9289245636190515
4.0,79.51494272498428,1.0,0.0,2.7830229953744503
4.0,102.3390093092448,1.0,0.0,3.581865325823568
4.0,-70.26434779379221,1.0,0.0,-2.4592521727827275
4.0,66.3912318648171,1.0,0.0,2.3236931152685982
4.0,296.243557018088,1.0,0.0,10.368524495633078
4.0,-70.0190013466956,1.0,0.0,-2.4506650471343456
4.0,-66.28654836455414,1.0,0.0,-2.320029192759395
4.0,49.28754983060614,1.0,0.0,1.7250642440712152
4.0,-78.30295203932536,1.0,0.0,-2.7406033213763883
4.0,-73.93897902162266,1.0,0.0,-2.587864265756793
4.0,-85.3331362260818,1.0,0.0,-2.9866597679128635
4.0,208.22752125648285,1.0,0.0,7.2879632439768995
4.0,-68.35548282996609,1.0,0.0,-2.392441899048813
4.0,352.4231170133489,1.0,0.0,12.334809095467207
4.0,-75.96970334518764,1.0,0.0,-2.658939617081568
4.0,-83.94133490519707,1.0,0.0,-2.937946721681897
4.0,-93.64759177207368,1.0,0.0,-3.2776657120225785
4.0,-90.30105382934558,1.0,0.0,-3.1605368840270955
4.0,-20.823983506017946,1.0,0.0,-0.7288394227106278
4.0,59.382366672964274,1.0,0.0,2.078382833553749
4.0,-36.899567984627474,1.0,0.0,-1.2914848794619616
4.0,-50.87167776084604,1.0,0.0,-1.7805087216296116
4.0,-64.89925576848754,1.0,0.0,-2.271473951897064
4.0,-84.39164154589196,1.0,0.0,-2.953707454106219
4.0,-59.80110771946397,1.0,0.0,-2.0930387701812387
4.0,-80.17226692901713,1.0,0.0,-2.806029342515599
4.0,120.3496036335594,1.0,0.0,4.212236127174579
4.0,-76.12818008571779,1.0,0.0,-2.6644863030001225
4.0,-77.62205209997002,1.0,0.0,-2.716771823498952
4.0,14.715716760708888,1.0,0.0,0.5150500866248111
4.0,-68.04906725947065,1.0,0.0,-2.381717354081473
4.0,-79.75316829075871,1.0,0.0,-2.7913608901765548
4.0,109.50494590818144,1.0,0.0,3.832673106786351
4.0,-46.233656472662894,1.0,0.0,-1.6181779765432012
4.0,2.808858294139739,1.0,0.0,0.09831004029489086
4.0,-76.23006248822963,1.0,0.0,-2.6680521870880374
4.0,3.5783898652806836,1.0,0.0,0.12524364528482396
4.0,-94.98724621584681,1.0,0.0,-3.3245536175546384
4.0,1205.8439968026946,1.0,0.0,42.20453988809432
4.0,-39.24437969501477,1.0,0.0,-1.3735532893255171
4.0,1557.4628348574995,1.0,0.0,54.51119922001249
4.0,-80.24679587158994,1.0,0.0,-2.808637855505648
